Simple cross-match for lofar and exoplanets_magper

Simple cross-match with a radius of 5 
CygA -> Kepler-603 c -> 127.9075774
CygA -> Kepler-106 e -> 43.8445
CygA -> Kepler-712 b -> 21.02247699
CygA -> Kepler-1405 b -> 28.2274184
CygA -> Kepler-1289 b -> 7.99019627
CygA -> Kepler-1546 b -> 19.5974971
CygA -> Kepler-54 c -> 12.0717249
CygA -> Kepler-34 b -> 288.822
CygA -> Kepler-1626 b -> 4.13962966
CygA -> Kepler-252 c -> 10.848463
CygA -> Kepler-718 b -> 2.0523499
CygA -> Kepler-251 e -> 99.640161
CygA -> Kepler-1098 b -> 2.54307286
3c48A -> HD 9446 b -> 30.052
3c48A -> HD 9446 c -> 192.9
3c196 -> XO-2S c -> 120.8
3c196 -> XO-2S b -> 18.157
3c196 -> XO-2 b -> 2.615857
3c196 -> HAT-P-13 b -> 2.91625
3c196 -> HAT-P-13 c -> 446.27
3c287 -> HD 116029 b -> 670.0
3c280 -> Kepler-549 b -> 42.9495649
3c280 -> Kepler-653 b -> 14.70748976
3c280 -> Kepler-922 b -> 0.93846683
3c280 -> Kepler-511 b -> 296.637865
3c280 -> Kepler-1361 b -> 3.57554956
3c280 -> Kepler-615 b -> 10.35584657
3c280 -> Kepler-165 b -> 8.180848
3c280 -> KIC 11442793 h -> 331.60059
3c280 -> Kepler-1040 b -> 201.1214
3c280 -> Kepler-1614 b -> 3.9466141
3c280 -> Kepler-1179 b -> 2.68505749
3c280 -> Kepler-422 b -> 7.8914483
3c280 -> Kepler-486 b -> 30.36044667
3c280 -> Kepler-94 b -> 2.50806
3c280 -> Kepler-298 b -> 10.475464
3c280 -> Kepler-1388 b -> 12.2854603
3c280 -> Kepler-992 b -> 20.16034462
3c280 -> Kepler-661 b -> 6.02930132
3c280 -> Kepler-1541 b -> 8.40691199
3c280 -> Kepler-1019 b -> 1.41122985
3c280 -> Kepler-853 b -> 7.16892463
3c280 -> Kepler-921 b -> 51.300634
3c280 -> Kepler-299 b -> 2.927128
3c280 -> Kepler-847 b -> 2.3432319
3c280 -> Kepler-1355 b -> 1.28958811
3c280 -> Kepler-298 d -> 77.473633
3c280 -> Kepler-299 d -> 15.054786
3c280 -> Kepler-364 b -> 25.745718
