NAME1           NAME2                       PER
J175106.9-2936  MOA-bin-1L             3.24756
J175106.9-2936  OGLE-TR-10            54.4187
J175106.9-2940  MOA-bin-1L             3.24756
J175106.9-2940  OGLE-TR-10            54.4187
J175107.0-2932  MOA-bin-1L             3.24756
J175107.0-2932  OGLE-TR-10            54.4187
J175107.1-2934  MOA-bin-1L             3.24756
J175107.1-2934  OGLE-TR-10            54.4187
J175107.2-2942  MOA-bin-1L             3.24756
J175107.2-2942  OGLE-TR-10            54.4187
J175107.3-2932  MOA-bin-1L             3.24756
J175107.3-2932  OGLE-TR-10            54.4187
J175107.3-2936  MOA-bin-1L             3.24756
J175107.3-2936  OGLE-TR-10            54.4187
J175107.6-2940  MOA-bin-1L             3.24756
J175107.6-2940  OGLE-TR-10            54.4187
J175107.8-2934  MOA-bin-1L             3.24756
J175107.8-2934  OGLE-TR-10            54.4187
J175107.9-2945  MOA-bin-1L             3.24756
J175107.9-2945  OGLE-TR-10            54.4187
J175108.0-2934  MOA-bin-1L             3.24756
J175108.0-2934  OGLE-TR-10            54.4187
J175108.3-2939  MOA-bin-1L             3.24756
J175108.3-2939  OGLE-TR-10            54.4187
J175108.4-2934  MOA-bin-1L             3.24756
J175108.4-2934  OGLE-TR-10            54.4187
J175108.5-2939  MOA-bin-1L             3.24756
J175108.5-2939  OGLE-TR-10            54.4187
J175108.6-2932  MOA-bin-1L             3.24756
J175108.6-2932  OGLE-TR-10            54.4187
J175108.9-2933  MOA-bin-1L             3.24756
J175108.9-2933  OGLE-TR-10            54.4187
J175109.0-2933  MOA-bin-1L             3.24756
J175109.0-2933  OGLE-TR-10            54.4187
J175109.1-2934  MOA-bin-1L             3.24756
J175109.1-2934  OGLE-TR-10            54.4187
J175109.5-2934  MOA-bin-1L             3.24756
J175109.5-2934  OGLE-TR-10            54.4187
J175109.6-2934  MOA-bin-1L             3.24756
J175109.6-2934  OGLE-TR-10            54.4187
J175109.7-2933  MOA-bin-1L             3.24756
J175109.7-2933  OGLE-TR-10            54.4187
J175109.8-2944  MOA-bin-1L             3.24756
J175109.8-2944  OGLE-TR-10            54.4187
J175109.9-2935  MOA-bin-1L             3.24756
J175109.9-2935  OGLE-TR-10            54.4187
J175110.0-2931  MOA-bin-1L             3.24756
J175110.0-2931  OGLE-TR-10            54.4187
J175110.0-2933  MOA-bin-1L             3.24756
J175110.0-2933  OGLE-TR-10            54.4187
J175110.1-2928  MOA-bin-1L             3.24756
J175110.1-2932  OGLE-TR-10            54.4187
J175110.5-2938  MOA-bin-1L             3.24756
J175110.5-2938  OGLE-TR-10            54.4187
J175110.6-2938  MOA-bin-1L             3.24756
J175110.6-2938  OGLE-TR-10            54.4187
J175110.7-2939  MOA-bin-1L             3.24756
J175110.7-2939  OGLE-TR-10            54.4187
J175110.8-2942  MOA-bin-1L             3.24756
J175110.8-2942  OGLE-TR-10            54.4187
J175111.1-2942  MOA-bin-1L             3.24756
J175111.1-2942  OGLE-TR-10            54.4187
J175111.4-2931  MOA-bin-1L             3.24756
J175111.4-2943  OGLE-TR-10            54.4187
J175111.5-2931  MOA-bin-1L             3.24756
J175111.5-2935  OGLE-TR-10            54.4187
J175111.7-2931  MOA-bin-1L             3.24756
J175111.7-2935  OGLE-TR-10            54.4187
J175111.8-2932  MOA-bin-1L             3.24756
J175111.8-2932  OGLE-TR-10            54.4187
J175111.9-2937  MOA-bin-1L             3.24756
J175111.9-2937  OGLE-TR-10            54.4187
J175111.9-2941  MOA-bin-1L             3.24756
J175111.9-2941  OGLE-TR-10            54.4187
J175112.0-2935  MOA-bin-1L             3.24756
J175112.0-2935  OGLE-TR-10            54.4187
J175112.4-2930  MOA-bin-1L             3.24756
J175112.9-2937  OGLE-TR-10            54.4187
J175113.1-2934  MOA-bin-1L             3.24756
J175113.1-2934  OGLE-TR-10            54.4187
J175113.1-2942  MOA-bin-1L             3.24756
J175113.1-2942  OGLE-TR-10            54.4187
J175113.4-2936  MOA-bin-1L             3.24756
J175113.4-2936  OGLE-TR-10            54.4187
J175113.5-2929  MOA-bin-1L             3.24756
J175113.6-2938  OGLE-TR-10            54.4187
J175113.7-2928  MOA-bin-1L             3.24756
J175113.8-2934  OGLE-TR-10            54.4187
J175113.9-2935  MOA-bin-1L             3.24756
J175113.9-2935  OGLE-TR-10            54.4187
J175114.1-2935  MOA-bin-1L             3.24756
J175114.1-2935  OGLE-TR-10            54.4187
J175114.2-2932  MOA-bin-1L             3.24756
J175114.2-2932  OGLE-TR-10            54.4187
J175114.3-2933  MOA-bin-1L             3.24756
J175114.3-2933  OGLE-TR-10            54.4187
J175114.6-2935  MOA-bin-1L             3.24756
J175114.6-2935  OGLE-TR-10            54.4187
J175114.6-2937  MOA-bin-1L             3.24756
J175114.6-2937  OGLE-TR-10            54.4187
J175114.8-2930  MOA-bin-1L             3.24756
J175114.9-2933  OGLE-TR-10            54.4187
J175114.9-2938  MOA-bin-1L             3.24756
J175114.9-2938  OGLE-TR-10            54.4187
J175115.0-2931  MOA-bin-1L             3.24756
J175115.0-2933  OGLE-TR-10            54.4187
J175115.3-2939  MOA-bin-1L             3.24756
J175115.3-2939  OGLE-TR-10            54.4187
J175115.4-2939  MOA-bin-1L             3.24756
J175115.4-2939  OGLE-TR-10            54.4187
J175115.9-2931  MOA-bin-1L             3.24756
J175115.9-2931  OGLE-TR-10            54.4187
J175116.2-2930  MOA-bin-1L             3.24756
J175116.4-2935  OGLE-TR-10            54.4187
J175116.5-2930  MOA-bin-1L             3.24756
J175116.5-2937  OGLE-TR-10            54.4187
J175116.5-2940  MOA-bin-1L             3.24756
J175116.5-2940  OGLE-TR-10            54.4187
J175116.6-2939  MOA-bin-1L             3.24756
J175116.6-2939  OGLE-TR-10            54.4187
J175116.9-2939  MOA-bin-1L             3.24756
J175116.9-2939  OGLE-TR-10            54.4187
J175117.0-2939  MOA-bin-1L             3.24756
J175117.0-2939  OGLE-TR-10            54.4187
J175117.0-2941  MOA-bin-1L             3.24756
J175117.0-2941  OGLE-TR-10            54.4187
J175117.2-2930  MOA-bin-1L             3.24756
J175117.2-2938  OGLE-TR-10            54.4187
J175117.2-2942  MOA-bin-1L             3.24756
J175117.2-2942  OGLE-TR-10            54.4187
J175117.5-2927  MOA-bin-1L             3.24756
J175117.5-2948  OGLE-TR-10            54.4187
J175117.6-2936  MOA-bin-1L             3.24756
J175117.6-2936  OGLE-TR-10            54.4187
J175117.9-2930  MOA-bin-1L             3.24756
J175117.9-2932  OGLE-TR-10            54.4187
J175118.0-2927  MOA-bin-1L             3.24756
J175118.1-2933  OGLE-TR-10            54.4187
J175118.1-2939  MOA-bin-1L             3.24756
J175118.1-2939  OGLE-TR-10            54.4187
J175118.2-2937  MOA-bin-1L             3.24756
J175118.2-2937  OGLE-TR-10            54.4187
J175118.2-2939  MOA-bin-1L             3.24756
J175118.2-2939  OGLE-TR-10            54.4187
J175118.4-2936  MOA-bin-1L             3.24756
J175118.4-2936  OGLE-TR-10            54.4187
J175118.5-2937  MOA-bin-1L             3.24756
