NAME,DEC,RA,TRANSIT,TRANSITURL,TRANSITREF,SE,SEURL,SEREF,MSTAR,IMAGING,TIMING,ASTROMETRY,MICROLENSING,MASS,PER
Kepler-402 e,43.35461111121707,19.22468055566152,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0107805,11.242861
HD 33142 b,-13.98656388892068,5.126541666454739,0,,,0,,,1.62,0,0,0,0,1.41137,326.6
HD 10180 h,-60.51154166645474,1.631552777820163,0,,,0,,,1.06,0,0,0,0,0.206033,2248
HD 200964 c,3.802997222211626,21.11105277803209,0,,,0,,,1.57,0,0,0,0,0.945722,825
Kepler-1479 b,49.70666666666667,19.04746111128065,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.99,0,0,0,0,0.0134548,14.53261362
Kepler-953 b,44.62452777756585,19.26477777798971,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.95,0,0,0,0,0.0583181,88.40655258
Kepler-1403 b,38.96011111153497,19.39118055555555,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.11,0,0,0,0,0.0159697,5.19492202
Kepler-346 c,46.11761111113761,19.20078888886504,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0281036,23.851549
Kepler-1524 b,39.51980555560854,19.59236111111111,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.17,0,0,0,0,0.0383032,70.9674603
Kepler-289 b,42.88283888922798,19.83101944393582,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0188614,34.543901
Kepler-1609 b,39.66583333333333,19.34310277726915,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.18,0,0,0,0,0.0166923,114.34219
Kepler-894 b,46.93938888867696,19.24893888897366,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.87,0,0,0,0,0.0233514,9.803224
GJ 832 c,-49.00701666673024,21.55945000012716,0,http://adsabs.harvard.edu/abs/2014ApJ...791..114W,Wittenmyer 2014,0,,Predicted,0.45,0,0,0,0,0.016749,35.68
Kepler-1615 b,42.22747222264608,19.09061388863458,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.04,0,0,0,0,0.015288,47.3126192
HD 108874 c,22.88004444440206,12.50744444423252,0,,,0,,,0.95,0,0,0,0,1.02837,1680.3835
Kepler-522 b,44.06883333338632,19.21026666641235,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.54,0,0,0,0,0.136066,38.58422849
Kepler-424 c,48.57744444423252,19.90832611136966,1,http://adsabs.harvard.edu/abs/2014ApJ...795..151E,Endl 2014,0,,Predicted,1.01,0,0,0,0,7.03702,223.3
Kepler-257 c,46.02326111104753,19.82106944455041,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0975428,6.581484
Kepler-187 c,44.08931111123827,19.98643055544959,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0218083,10.640263
Kepler-447 b,48.56,19.01790555556615,1,http://adsabs.harvard.edu/abs/2015A%26A...577A.105L,Lillo-Box 2015,0,,Predicted,1,0,0,0,0,1.37,7.79430132
CoRoT-2 b,1.383694444431199,19.45180444439252,1,http://adsabs.harvard.edu/abs/2010A%26A...511A...3G,Gillon 2010,1,,,0.97,0,0,0,0,3.27527,1.7429935
Kepler-314 c,42.07558055559794,19.64493888854981,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.025195,5.960392
Kepler-55 f,44.02646111064487,19.0112194442749,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.011856,10.198545
Kepler-78 b,44.44838888910081,19.58277472178141,1,http://adsabs.harvard.edu/abs/2013ApJ...774...54S,Sanchis-Ojeda 2013,0,,Predicted,0.81,0,0,0,0,0.00585,0.35500744
WASP-5 b,-41.27713888910082,23.95659972243839,1,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T,Triaud 2010,1,,,1.01,0,0,0,0,1.62423,1.6284229
HD 202206 b,-20.78891944461399,21.24938611136542,0,,,0,,,1.074,0,0,0,0,16.8244,255.87
Kepler-236 b,39.89808055559794,18.92443055576748,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0117295,8.295611
WASP-94 A b,-34.13552777780427,20.91887472218938,1,http://adsabs.harvard.edu/abs/2014A%26A...572A..49N,Neveu-VanMalle 2014,0,,Predicted,1.29,0,0,0,0,0.41865,3.9501907
Kepler-281 c,44.77070000012716,19.6072111108568,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0938647,36.337373
Kepler-93 b,38.67222222222222,19.42786111089918,1,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,0,,Predicted,0.91,0,0,0,0,0.00814901,4.72674
HIP 57274 b,30.96021944469876,11.74471666653951,0,http://adsabs.harvard.edu/abs/2012ApJ...745...21F,Fischer 2012,0,,,0.73,0,0,0,0,0.0365708,8.1352
Kepler-1105 b,42.45494444423252,18.74078333324856,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.71,0,0,0,0,0.0148244,4.42157218
Kepler-1169 b,46.49147222201029,19.66077222188314,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.24,0,0,0,0,0.00235177,6.11009134
Kepler-1246 b,48.98216666645474,19.17716111077203,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.73,0,0,0,0,0.00842926,11.32271513
Kepler-931 b,42.76824999994702,19.80884166664547,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.86,0,0,0,0,0.00796813,8.03755877
Kepler-353 b,41.75818055576748,19.7904388888677,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.00192504,5.795278
Kepler-780 b,44.29255555576748,18.78442500001854,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.01,0,0,0,0,0.00189081,0.67737516
HD 17092 b,49.65305555555555,2.772809722158644,0,,,0,,,2.3,0,0,0,0,4.96206,359.89999
HD 180314 b,31.86030000050863,19.24727222230699,0,,,0,,,2.6,0,0,0,0,22.6261,396.03
Kepler-150 b,40.52089999993642,19.21561111132304,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.00638668,3.428054
Kepler-1487 b,38.64450000021193,19.69987499978807,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.38,0,0,0,0,0.0158698,7.31946363
Kepler-151 c,41.0232388888465,19.47751944435967,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0155228,24.674612
Kepler-238 b,40.63782222217984,19.19313888867696,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0127755,2.090876
6 Lyn b,58.16345555517408,6.513094444274902,0,,,0,,,1.82,0,0,0,0,2.20888,874.774
Kepler-56 b,41.87186111132304,19.58388999998569,1,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,0,,Predicted,1.37,0,1,0,0,0.0465014,10.5034294
Kepler-168 b,39.82510000016955,19.64733888838026,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0107805,4.425391
Kepler-1032 b,40.09775000042386,19.32872499995761,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.77,0,0,0,0,0.0137822,3.29011795
Kepler-1274 b,46.4497777779897,18.97291388882531,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.45,0,0,0,0,0.00991268,6.98152703
Kepler-303 c,43.65704999976688,18.87570000012716,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.00464108,7.061149
Kepler-1427 b,45.11455555597941,19.68997777779897,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.01,0,0,0,0,0.00407386,0.96897238
HD 73256 b,-30.03778611130185,8.606427777608236,0,,,0,,,1.05,0,0,0,0,1.86902,2.5485799
WASP-66 b,-34.98980555534363,10.54833361095852,1,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,Hellier 2012,0,,,1.3,0,0,0,0,2.31346,4.086052
Kepler-169 b,40.91931944449743,19.06666111098395,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.00450004,3.250619
HIP 105854 b,-37.82940277735393,21.43965277777778,0,http://adsabs.harvard.edu/abs/2014A%26A...566A.113J,Jones 2014,0,,Predicted,2.1,0,0,0,0,8.2,184.2
Kepler-1634 b,45.13977777798971,19.60289444446564,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.92,0,0,0,0,0.0304768,374.876239
Kepler-796 b,39.14472222222222,19.1538583334287,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.93,0,0,0,0,0.00730709,6.40087618
Kepler-1013 b,44.43525000002649,19.34987222247653,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.81,0,0,0,0,0.0160703,18.93054959
Kepler-668 b,49.27736111111111,19.03328333324856,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.87,0,0,0,0,0.0222358,8.35390639
Kepler-49 d,40.59178888903724,19.48631111118529,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0119197,2.576549
Kepler-148 c,46.85878888871935,19.31908055543899,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0397965,4.180043
Kepler-1363 b,49.25641666677263,19.79976944393582,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.76,0,0,0,0,0.00648186,2.94194094
Kepler-301 d,49.23298888842265,18.93219999949137,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0129124,13.751243
Kepler-1572 b,46.72263888888889,18.79315277735392,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.97,0,0,0,0,0.00235177,5.49548621
Kepler-317 c,39.03206111060248,19.66293055534363,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0127076,8.77501
Kepler-972 b,43.42549999978807,19.72191388871935,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.15,0,0,0,0,0.0714653,7.03932553
HAT-P-14 b,38.24219444433848,17.3410761112637,1,http://adsabs.harvard.edu/abs/2010ApJ...715..458T,Torres 2010,0,,,1.386,0,0,0,0,2.23603,4.627669
Kepler-237 c,40.42183055559794,18.88143055597941,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.015437,8.103636
Kepler-735 b,46.17225000010596,18.97925833384196,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.85,0,0,0,0,0.0259788,11.51516988
Kepler-1404 b,50.49838888910082,19.73396111110846,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.84,0,0,0,0,0.0148244,15.9314739
Kepler-978 b,43.0434444448683,19.11404722213745,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.07,0,0,0,0,0.0267373,49.6221509
Kepler-1386 b,42.63605555560854,18.72155833350287,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.02,0,0,0,0,0.00628541,6.73972381
Kepler-1244 b,46.51619444423252,18.82008055554496,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.46,0,0,0,0,0.00819664,3.70428172
HD 45652 b,10.93404444442855,6.486963888804118,0,,,0,,,0.83,0,0,0,0,0.468448,43.6
61 Vir c,-18.30861111111111,13.30693611092038,0,,,0,,,0.942,0,0,0,0,0.0333747,38.021
Kepler-804 b,44.78513888888889,19.55815000004239,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.01,0,0,0,0,0.0142915,14.37457351
Kepler-154 b,49.89653055508931,19.31870000004768,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0170837,33.040532
HD 114762 b,17.5171277777685,13.2055833334393,0,,,0,,,0.894578,0,0,0,0,11.6351,83.9151
